owner_name,player_name,cricsheet_player_name,status,phase1_points_G1_to_G7,phase2_points_G8_to_end,total_points
Bhuvan,Virat Kohli,V Kohli,current,508.0,372.0,880.0
Bhuvan,Sunil Narine,SP Narine,current,248.0,338.0,586.0
Bhuvan,Ravindra Jadeja,RA Jadeja,current,366.0,155.0,521.0
Bhuvan,Anshul Kamboj,A Kamboj,current,0.0,231.0,231.0
Bhuvan,Travis Head,TM Head,current,270.0,358.0,628.0
Bhuvan,Prasidh Krishna,M Prasidh Krishna,current,336.0,74.0,410.0
Bhuvan,Harsh Dubey,Harsh Dubey,current,0.0,12.0,12.0
Bhuvan,Marcus Stoinis,MP Stoinis,current,104.0,301.0,405.0
Bhuvan,Rohit Sharma,RG Sharma,current,204.0,216.0,420.0
Bhuvan,Dhruv Jurel,Dhruv Jurel,current,388.0,386.0,774.0
Bhuvan,Kartik Tyagi,Kartik Tyagi,current,0.0,286.0,286.0
Bhuvan,Shivang Kumar,Shivang Kumar,current,0.0,90.0,90.0
Bhuvan,Salil Arora,S Arora,current,119.0,119.0,238.0
Bhuvan,Matheesha Pathirana,M Pathirana,current,0.0,4.0,4.0
Bhuvan,Eshan Malinga,E Malinga,current,364.0,229.0,593.0
Bhuvan,Harshal Patel,HV Patel,past,7.0,0.0,7.0
Bhuvan,Sai Kishore,R Sai Kishore,past,0.0,0.0,0.0
Bhuvan,Kartik Sharma,Kartik Sharma,past,67.0,0.0,67.0
Bhuvan,Prashant Veer,PR Veer,past,72.0,0.0,72.0
Bhuvan,Shahbaz Ahamad,Shahbaz Ahmed,past,20.0,0.0,20.0
Nishant,Sanju Samson,SV Samson,current,458.0,312.0,770.0
Nishant,Dewald Brevis,D Brevis,current,161.0,196.0,357.0
Nishant,Shreyas Iyer,SS Iyer,current,450.0,365.0,815.0
Nishant,Shivam Dube,S Dube,current,238.0,227.0,465.0
Nishant,Sameer Rizvi,Sameer Rizvi,current,0.0,81.0,81.0
Nishant,Arshdeep Singh,Arshdeep Singh,current,225.0,204.0,429.0
Nishant,Washington Sundar,Washington Sundar,current,285.0,265.0,550.0
Nishant,Vyshak Vijaykumar,Vijaykumar Vyshak,current,0.0,91.0,91.0
Nishant,Brijesh Sharma,Brijesh Sharma,current,0.0,167.0,167.0
Nishant,Jitesh Sharma,JM Sharma,current,149.0,134.0,283.0
Nishant,Mitchell Starc,MA Starc,current,0.0,279.0,279.0
Nishant,Rinku Singh,RK Singh,current,241.0,298.0,539.0
Nishant,Mukul Choudhary,Mukesh Choudhary,current,0.0,175.0,175.0
Nishant,Nandre Burger,N Burger,current,237.0,27.0,264.0
Nishant,Mukesh Kumar,Mukesh Kumar,current,171.0,31.0,202.0
Nishant,Sherfane Rutherford,SE Rutherford,past,177.0,0.0,177.0
Nishant,Nehal Wadhera,N Wadhera,past,121.0,0.0,121.0
Nishant,Ayush Mhatre,A Mhatre,past,313.0,0.0,313.0
Nishant,Romario Shepherd,R Shepherd,past,161.0,0.0,161.0
Nishant,Shahrukh Khan,M Shahrukh Khan,past,87.0,0.0,87.0
Om,Cameron Green,C Green,current,285.0,420.0,705.0
Om,Ruturaj Gaikwad,RD Gaikwad,current,179.0,359.0,538.0
Om,Yashasvi Jaiswal,YBK Jaiswal,current,382.0,227.0,609.0
Om,Riyan Parag,R Parag,current,0.0,272.0,272.0
Om,Noor Ahmad,Noor Ahmad,current,228.0,206.0,434.0
Om,Mohammed Siraj,Mohammed Siraj,current,227.0,318.0,545.0
Om,Angkrish Raghuvanshi,A Raghuvanshi,current,313.0,363.0,676.0
Om,Bhuvneshwar Kumar,B Kumar,current,354.0,431.0,785.0
Om,MS Dhoni,MS Dhoni,current,0,0,0
Om,Jos Buttler,JC Buttler,current,436.0,485.0,921.0
Om,Yuzvendra Chahal,YS Chahal,current,138.0,244.0,382.0
Om,Akeal Hosein,AJ Hosein,current,0.0,98.0,98.0
Om,Josh Hazlewood,JR Hazlewood,current,150.0,254.0,404.0
Om,Will Jacks,WG Jacks,current,0.0,206.0,206.0
Om,Rajat Patidar,RM Patidar,current,0.0,257.0,257.0
Om,Vaibhav Sooryavanshi,V Suryavanshi,past,402.0,0.0,402.0
Om,Abishek Porel,Abishek Porel,past,0.0,0.0,0.0
Om,Rahul Tewatia,R Tewatia,past,99.0,0.0,99.0
Prabhanjan,Sai Sudharsan,B Sai Sudharsan,current,365.0,591.0,956.0
Prabhanjan,Axar Patel,AR Patel,current,257.0,282.0,539.0
Prabhanjan,Rashid Khan,Rashid Khan,current,0.0,387.0,387.0
Prabhanjan,Marco Jansen,M Jansen,current,187.0,202.0,389.0
Prabhanjan,Lungi Ngidi,L Ngidi,current,230.0,106.0,336.0
Prabhanjan,Cooper Connolly,C Connolly,current,0.0,412.0,412.0
Prabhanjan,Rishabh Pant,RR Pant,current,281.0,280.0,561.0
Prabhanjan,Nitish Kumar Reddy,Nithish Kumar Reddy,current,367.0,288.0,655.0
Prabhanjan,Quinton de Kock,Q de Kock,current,219.0,0.0,219.0
Prabhanjan,Xavier Bartlett,XC Bartlett,current,0.0,46.0,46.0
Prabhanjan,Digvesh Rathi,DS Rathi,current,115.0,74.0,189.0
Prabhanjan,Donovan Ferreira,D Ferreira,current,0.0,324.0,324.0
Prabhanjan,Josh Inglis,JP Inglis,current,0.0,394.0,394.0
Prabhanjan,Naman Dhir,Naman Dhir,current,277.0,249.0,526.0
Prabhanjan,Pathum Nissanka,P Nissanka,current,246.0,199.0,445.0
Prabhanjan,Shashank Singh,Shashank Singh,current,0.0,130.0,130.0
Prabhanjan,Mitchell Santner,MJ Santner,past,196.0,0.0,196.0
Prabhanjan,Khaleel Ahmed,KK Ahmed,past,70.0,0.0,70.0
Prabhanjan,Ashutosh Sharma,Ashutosh Sharma,past,56.0,0.0,56.0
Prabhanjan,Trent Boult,TA Boult,past,40.0,0.0,40.0
Prabhanjan,Aniket Verma,Aniket Verma,past,157.0,0.0,157.0
Sailesh,Abhishek Sharma,Abhishek Sharma,current,510.0,411.0,921.0
Sailesh,Aiden Markram,AK Markram,current,281.0,142.0,423.0
Sailesh,Varun Chakaravarthy,CV Varun,current,167.0,155.0,322.0
Sailesh,Tim David,TH David,current,293.0,165.0,458.0
Sailesh,Vaibhav Arora,VG Arora,current,0.0,124.0,124.0
Sailesh,Krunal Pandya,KH Pandya,current,283.0,317.0,600.0
Sailesh,Ayush Badoni,A Badoni,current,226.0,122.0,348.0
Sailesh,Jamie Overton,J Overton,current,0.0,174.0,174.0
Sailesh,Kagiso Rabada,K Rabada,current,362.0,420.0,782.0
Sailesh,Kuldeep Yadav,Kuldeep Yadav,current,239.0,1.0,240.0
Sailesh,Blessing Muzarabani,B Muzarabani,current,0.0,0.0,0.0
Sailesh,T Natarajan,T Natarajan,current,0.0,33.0,33.0
Sailesh,Avesh Khan,Avesh Khan,current,168.0,33.0,201.0
Sailesh,Sarfaraz Khan,SN Khan,current,0.0,18.0,18.0
Sailesh,Rashid Khan,Rashid Khan,past,291.0,0.0,291.0
Sailesh,Nicholas Pooran,N Pooran,past,148.0,0.0,148.0
Sailesh,Azmatullah Omarzai,Azmatullah Omarzai,past,0.0,0.0,0.0
Sailesh,Jacob Bethell,JG Bethell,past,31.0,0.0,31.0
Sailesh,Matheesha Pathirana,M Pathirana,past,0.0,0.0,0.0
Sailesh,Venkatesh Iyer,VR Iyer,past,44.0,0.0,44.0
Vaibhav,Hardik Pandya,HH Pandya,current,232.0,134.0,366.0
Vaibhav,Ishan Kishan,Ishan Kishan,current,400.0,520.0,920.0
Vaibhav,Shubman Gill,Shubman Gill,current,460.0,529.0,989.0
Vaibhav,Vaibhav Sooryavanshi,V Suryavanshi,current,0.0,505.0,505.0
Vaibhav,Ashwani Kumar,Ashwani Kumar,current,0.0,-2.0,-2.0
Vaibhav,Priyansh Arya,Priyansh Arya,current,392.0,195.0,587.0
Vaibhav,Tristan Stubbs,T Stubbs,current,310.0,137.0,447.0
Vaibhav,Mohammed Shami,Mohammed Shami,current,244.0,165.0,409.0
Vaibhav,Heinrich Klaasen,H Klaasen,current,498.0,478.0,976.0
Vaibhav,David Miller,DA Miller,current,191.0,137.0,328.0
Vaibhav,Ajinkya Rahane,AM Rahane,current,240.0,211.0,451.0
Vaibhav,Devdutt Padikkal,D Padikkal,current,385.0,390.0,775.0
Vaibhav,Suyash Sharma,Suyash Sharma,current,147.0,132.0,279.0
Vaibhav,Ravi Bishnoi,Ravi Bishnoi,current,345.0,10.0,355.0
Vaibhav,Nitish Rana,N Rana,current,0.0,93.0,93.0
Vaibhav,Riyan Parag,R Parag,past,205.0,0.0,205.0
Vaibhav,Rajat Patidar,RM Patidar,past,408.0,0.0,408.0
Vaibhav,Harpreet Brar,Harpreet Brar,past,0.0,0.0,0.0
Vamsi,Surya Kumar Yadav,SA Yadav,current,242.0,105.0,347.0
Vamsi,Jasprit Bumrah,JJ Bumrah,current,112.0,82.0,194.0
Vamsi,KL Rahul,KL Rahul,current,541.0,271.0,812.0
Vamsi,Mitchell Marsh,MR Marsh,current,320.0,536.0,856.0
Vamsi,Shimron Hetmyer,SO Hetmyer,current,142.0,27.0,169.0
Vamsi,Prabhsimran Singh,P Simran Singh,current,476.0,355.0,831.0
Vamsi,Prince Yadav,Prince Yadav,current,0.0,123.0,123.0
Vamsi,Tilak Varma,Tilak Varma,current,328.0,278.0,606.0
Vamsi,Phil Salt,PD Salt,current,348.0,0.0,348.0
Vamsi,Jason Holder,JO Holder,current,71.0,480.0,551.0
Vamsi,Pat Cummins,PJ Cummins,current,0.0,294.0,294.0
Vamsi,Sakib Hussain,Sakib Hussain,current,0.0,267.0,267.0
Vamsi,Jofra Archer,JC Archer,current,401.0,228.0,629.0
Vamsi,Allah Ghazanfar,AM Ghazanfar,current,0.0,180.0,180.0
Vamsi,Mohsin Khan,Mohsin Khan,current,0.0,215.0,215.0
Vamsi,Finn Allen,FH Allen,past,132.0,0.0,132.0
Vamsi,Sandeep Sharma,Sandeep Sharma,past,163.0,0.0,163.0
Vamsi,Glenn Phillips,GD Phillips,past,165.0,0.0,165.0
Vamsi,Mangesh Yadav,MP Yadav,past,4.0,0.0,4.0
